Adset,Cluster,GTM,Days to fatigue,Driven by,Priority
hair,expert-doctor-led,true,10.1,ctr,P3->7d
skin female,maa-beti,true,10.3,ctr,P3->7d
weightloss female,saas-vs-bahu,true,11,ctr,P3->7d
makeup hairstyle,pati-vs-patni,true,11.4,ctr,P3->7d
makeup hairstyle,(all),false,11.4,ctr,P3->7d
home parlour,(all),false,12.7,ctr,P3->7d
horxother + ut,(all),false,12.8,both,P3->7d
sm+biz+diy,(all),false,12.9,both,P3->7d
top - 153 - facebook(aaa),(all),false,13.1,cac,P3->7d
top - 2 - pti,(all),false,14.6,both,P3->7d
skin female,pati-vs-patni,true,14.6,ctr,P3->7d
hair,parent-child,true,20.8,ctr,P3->7d
makeup hairstyle,saas-vs-bahu,true,23.9,ctr,P3->7d
weightloss male,pati-vs-patni,true,24.4,ctr,P3->7d
top - 1 - sarkari kaam,(all),false,25.4,cac,P3->7d
top - 36 - business,(all),false,26.4,ctr,P3->7d
top - 15 - stock market - 2,(all),false,27.3,ctr,P3->7d
test,(all),false,32,cac,P3->7d
engdaily,(all),false,32.8,ctr,P3->7d
hair,relatives-taunt,true,40.5,ctr,P3->7d
bau - business new,(all),false,52.8,cac,P3->7d
hair,saheli-friends-taunt,true,56.9,ctr,P3->7d
sarkariloans,(all),false,57.9,ctr,P3->7d
decoy 3,(all),false,702.2,ctr,P3->7d
